slot_number,block_number,timestamp,builder,relays,value,parent_hash,block_hash,builder_pubkey,proposer_pubkey,proposer_fee_recipient,gas_limit,gas_used
10495586,21284091,2024-11-28 05:17:35.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED,TITAN}",0.0363876828159554,0x2A31073591E3AF404F6B9890AA6869E603786656BED7992A009EDB420C54FA5B,0x9FB1E6925DD653C6BD1237F89F0730E0E9E638EA89956C1F86625FEB0B4FA035,0xB4A435CF816291596FE2E405651EC8B6C80B9CC34DACE3C83202CA489A833756C9A0672EBDC17F23D9D43163DB1CAA5D,0x84501B21753BC05D7003C46C810673CD42E585045F38BEE05DACE60C69D18CAEFD4B65937283EFEE7CF0401203996FB7,0x882E747C5C2E0366D4FD6F9F95780467C6549732,30000000,19812664
10495605,21284109,2024-11-28 05:21:23.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.0579729193266041,0x41BFE1D30E05D5F532B40F9359B59574C87682231FDC47A9620F5B953FF879E5,0x54CA2DAA213BDE9EBDB32BC1E0019B91B59AD89032B61FC486C343F012BC99A1,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0x8E5DE2CE35AFA82C31E24F28DEDA6209BC2AFB36CD9DBEF25667AF45F3FE0D90637A87DADF7C566CAF55E16A78786AA8,0xE3C44D4D25172EF2E0CDB9E09189A8CA4ED878F4,30000000,23280800
10495607,21284110,2024-11-28 05:21:47.000000 +00:00,Titan,{BLOXROUTE_MAXPROFIT},0.0733024408371875,0x76E93B8D9939543682AA755F9A89E508F196C263B1FC8DBBBFE36B468C6631CE,0xA384812341A7F0CA30DBFBCC624B354422DA384B4C36F8BB14D93EDD353FCA9E,0xA9D0A0F9059972D775A45D8377768FF20234DE91A6FBACBA5737FF8803807C38021B5863E5084869E695EF1D6C2FDAEF,0xA50E85B5E268FEF440C74E7687FCD512796A6BEAF2CD89F2EC96B19D294281A1789825B9BF9C9C3173FC87EB921567DD,0xFFEE087852CB4898E6C3532E776E68BC68B1143B,30000000,16124856
10495610,21284112,2024-11-28 05:22:23.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.103590202092547,0xAFDC4E5DA55397A8E9645EFAB953EBE5CCE675CE636F8056966C12940FFA4B26,0xEAD5C3A980078933C849427801FBD75A736A4FFCD14E47722EEF8F50B97EC982,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0xAA4B28183E81A9A45E8FBE84483BF634A8F24DEF092BCE8B05E5A98D5A38C51A25D2AE1BDC562E795F7216E3EAF48DD7,0x0AD1B3766F572C71CDFC4073F3EFFE1BBF129385,30000000,14888043
10495612,21284113,2024-11-28 05:22:47.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.131104669917409,0xD7333DBE4C9A6FA5AC8EA88E6CC40E2F71F791CB76EE1FB217AD3F227C8F7EEC,0x937ABA8F3A684EC76664391647F6D5B98D67484F5C8C462E707C1F0DC131A08C,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0x9924AB75FD6A41876F66729907CB93440CE77CB16F8455189217A7011A1742810B33826E7F75912755DB3B13FCB77BC7,0xE688B84B23F322A994A53DBF8E15FA82CDB71127,30000000,29998974
10495615,21284115,2024-11-28 05:23:23.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED,TITAN}",0.0389584512787459,0xF3ABA2C3531E1BC27D6F0FAC3E4BA366648A03CC0F8C09C8985D230EBC5F6A53,0xFDF0B8D0F0798F4E96BA0A39182A766C08C2AD4B4922119EAFFB1E980B9578A9,0xB4A435CF816291596FE2E405651EC8B6C80B9CC34DACE3C83202CA489A833756C9A0672EBDC17F23D9D43163DB1CAA5D,0x8543809209BC5310CCF4B4BF82706BFB17A5F1CDF62660AE8AEEE616A80A97C93B265216121BCC854AD1EC40C89956CD,0xAE3FADD231C8FB2B2C756987ECB582963405D018,30000000,23015451
10495620,21284119,2024-11-28 05:24:23.000000 +00:00,Titan,{BLOXROUTE_MAXPROFIT},0.0939532458189279,0xE0A903E76C6E2C99C87BE2E51714224917940EF43E98D8183EF45C2CC0EC3C4E,0x5268AA576FC965561AB36857424861E3AB7CC2E26C73AE88EE98F46949F042EE,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0x975B856449E7EDA2BAF2A9847EA46BE9894AB5C446C7A0366AB29A7EAF5D095CA0CB3A2DC71AB4DB5EB0EC36B764F55D,0xD4E96EF8EEE8678DBFF4D535E033ED1A4F7605B7,30000000,23154827
10495647,21284145,2024-11-28 05:29:47.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED,TITAN}",0.0288346485876198,0xEE92F8E2C301C52CBFB602A1D7F1A626A65EB1C88AD1FD6EE340E41CEFF778A1,0x8FD09B39214277E0894822F0BFF24FE5F15D9286EAA612AC22302FBCB0463169,0xB4A435CF816291596FE2E405651EC8B6C80B9CC34DACE3C83202CA489A833756C9A0672EBDC17F23D9D43163DB1CAA5D,0xB413BD82D623DF6D9488787E8DAFF9C0251886CE9834862E79619B769325EE0774AF6BD82A53BEA724C83FD0FF3A8404,0x7275B0156CBA80A92373343083BD7EFE5E3479F7,30000000,14062459
10495657,21284154,2024-11-28 05:31:47.000000 +00:00,Titan,{BLOXROUTE_MAXPROFIT},0.0631183520858647,0xF87FF8CF4002D7C51C9BB585FD16F8ABCF78310956B8BC1AD3FECE05CCAE6E4F,0xCEAEBC259F79FA99ED705E1071D8A3040FF76E5E5883F665F239060D53E2EF1C,0xA9D0A0F9059972D775A45D8377768FF20234DE91A6FBACBA5737FF8803807C38021B5863E5084869E695EF1D6C2FDAEF,0x9832FC12B5FDDC5A84FDFA3335CB7042091EC4B6162119BFE1F3460841F3000BD88A82B40D13C906A621E4246C444078,0x6D2E03B7EFFEAE98BD302A9F836D0D6AB0002766,30000000,25478331
10495661,21284157,2024-11-28 05:32:35.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.0430433011007467,0x6BDAED61980A4D8A1C75603DFB8CF84CE2ADB607474DF4D2939343B5DBFBD036,0xB06F73B2EFFA4E63401022F3F41F8F9376689FE6978DF176837C5667281C1624,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0xA804FE11339DC5DFE56261ED0B31CF9218DEDD13FFF66699C98DE9E2D604BF8500CA6CFA776F10210445156D03221503,0xE688B84B23F322A994A53DBF8E15FA82CDB71127,30000000,24528141
